"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_370",8,55,4,24,30,40
"Cluster_371",133,613,132,330,903,424
"Cluster_372",12,57,3,24,35,29
"Cluster_373",62,167,24,137,180,188
"Cluster_374",20,19,5,29,17,35
"Cluster_375",16,49,12,38,18,60
"Cluster_376",16,195,16,70,121,89
"Cluster_377",1,14,0,14,26,14
"Cluster_378",37,178,43,142,94,138
"Cluster_379",12,28,6,49,29,28
"Cluster_380",13,16,11,14,21,16
"Cluster_381",2,3,0,7,7,6
"Cluster_382",0,1,0,7,22,8
"Cluster_383",29,73,12,62,79,69
"Cluster_384",15,22,2,14,19,17
"Cluster_385",74,208,13,162,226,181
"Cluster_386",12,12,3,9,17,11
"Cluster_387",5,21,2,15,31,12
"Cluster_388",2,17,0,19,19,14
"Cluster_389",37,123,27,127,135,142
"Cluster_390",2,70,10,48,117,67
"Cluster_391",5,49,0,36,83,34
"Cluster_392",12,16,2,20,18,25
"Cluster_393",21,136,8,84,186,79
"Cluster_394",2,10,0,5,9,8
"Cluster_395",3,57,1,36,42,35
"Cluster_396",110,444,48,507,1220,573
"Cluster_397",0,9,1,9,10,5
"Cluster_398",7,23,3,22,30,22
"Cluster_399",8,38,3,48,38,61
"Cluster_400",6,15,2,14,5,31
"Cluster_401",6,29,8,31,9,37
"Cluster_402",82,261,21,209,411,231
"Cluster_403",1,14,0,3,20,7
"Cluster_404",9,17,1,29,14,39
"Cluster_405",105,169,21,199,207,255
"Cluster_406",51,280,31,239,1172,323
"Cluster_407",13,49,6,60,75,67
"Cluster_408",62,240,30,184,304,188
"Cluster_409",1,8,1,4,11,9
"Cluster_410",17,77,7,69,127,71
"Cluster_411",22,66,11,31,38,44
"Cluster_412",4,12,2,9,25,14
"Cluster_413",19,101,23,80,106,83
"Cluster_414",84,196,24,163,190,207
"Cluster_415",25,145,6,64,133,62
"Cluster_416",2419,7572,2208,2692,373,5145
"Cluster_417",2,16,0,7,11,7
"Cluster_418",3,17,0,13,14,14
"Cluster_419",6,17,0,12,17,8
"Cluster_420",1,6,1,9,13,14
"Cluster_421",8,36,1,30,49,18
"Cluster_422",1199,3654,406,2450,1830,3084
"Cluster_423",3,3,0,4,13,7
"Cluster_424",1,6,0,3,18,3
"Cluster_425",3,21,0,24,62,20
"Cluster_426",0,6,0,7,22,8
"Cluster_427",53,106,45,102,58,117
"Cluster_428",8,29,2,46,91,64
"Cluster_429",726,1175,362,1500,1421,1962
