"","97.bam","105.bam","113.bam","93.bam","101.bam","109.bam"
"Cluster_669",13,69,1,29,69,12
"Cluster_670",3,18,2,4,9,1
"Cluster_671",16,53,5,19,43,16
"Cluster_672",0,12,3,2,11,5
"Cluster_673",62,126,23,56,80,34
"Cluster_674",11,23,2,21,41,15
"Cluster_675",5,15,0,15,15,3
"Cluster_676",36,85,6,29,47,31
"Cluster_677",10,50,3,26,51,12
"Cluster_678",16,58,3,50,59,38
"Cluster_679",4,13,3,8,5,0
"Cluster_680",3,12,3,3,1,2
"Cluster_681",11,1547,14,50,69,66
"Cluster_682",6,11,9,4,5,1
"Cluster_683",5,40,4,23,69,21
"Cluster_684",20,108,13,93,167,72
"Cluster_685",10,26,1,19,12,7
"Cluster_686",13,9,0,8,39,5
"Cluster_687",25,101,13,52,65,45
